VALID,URGENT,AIRCRAFT,REPORT,ICING,TURBULENCE,ATRCC,PRODUCT_ID,FL,LAT,LON
202008010226,F,BE20,ANC UA /OV TED270050/TM 0226/FL190/TP BE20/SK TOPS 190/TA M13/IC MOD RIME /RM ICING DURD FROM FL180-120 (ZAN,MOD RIME,None,ZAN,None,19000,61.17,-151.71828563157194
202008010230,F,CRJ9,MEM UA /OV 10 N MEM/TM 0230/FL020/TP CRJ9/SK BASES 025,None,None,ZME,None,2000,35.227790166680165,-89.985
202008010230,F,C208,OTZ UA /OV OTZ180040/TM 0230/FL100/TP C208/SK TOP 105/TA M 04/IC LGT RIME 100-105/RM DURC ZAN,LGT RIME 100-105,None,ZAN,None,10000,66.21327933327933,-162.59
202008010232,F,C172,UA /OV CYCD /TM 0232 /FLUNKN /TP C172 /RM SIG FU OVR CYCD  VIS REDUCED TOPS OF FU 045,None,None,None,None,None,49.0516,-123.8741
202008010232,F,BE20,ANC UA /OV TED290035/TM 0232/FL180/TP BE20/TA M17/IC MOD RIME 120-180/RM DURD,MOD RIME 120-180,None,ZAN,None,18000,61.36952791074124,-151.12684007821895
202008010238,F,B712,IAH UA /OV FINAL RWY8R/TM 0238/FLDURD/TP B712/WV CROSS WIND TURNED TO HEADWIND ON SHORT FINAL/TB SMOOTH RIDE,None,SMOOTH RIDE,ZHU,None,None,29.98443,-95.34144
202008010239,F,CRJ7,MEM UA /OV MEM/TM 0239/FL024/TP CRJ7/SK BKN024,None,None,ZME,None,2400,35.06111,-89.985
202008010249,F,B739,CVG UA /OV 5 W CVG/TM 0249/FLDURD/TP B739/SK BASES 040 TOPS 110,None,None,ZID,None,None,39.04306,-84.77897398325544
202008010300,F,C172,MOD UA /OV KTCY302006 /TM 0300 /FL030 /TP C172 /SK SKC /WX FV10SM /TB INTMT LGT 030/RM AWC-WEB,None,INTMT LGT 030,ZOA,None,3000,37.74189211877365,-121.54874948988405
202008010300,F,C172,MOD UA /OV KTCY302006 /TM 0300 /FL030 /TP C172 /SK SKC /WX FV10SM /TB INTMT LGT 030/RM AWC-WEB:,None,INTMT LGT 030,ZOA,None,3000,37.74189211877365,-121.54874948988405
202008010301,F,C172,PAE UA /OV S43 /TM 0301 /FL045 /TP C172 /TB OCNL LGT,None,OCNL LGT,ZSE,None,4500,47.9,-122.1
202008010312,F,C172,RNT UA /OV RNT /TM 0312 /FL045 /TP C172 /SK SKC /WX FV99SM /RM THIN LYER ABOUT 120,None,None,ZSE,None,4500,47.49314,-122.21575
202008010315,F,CRJ7,ABQ UA /OV ABQ360010/TM 0315/FL100/TP CRJ7/TB MODERATE,None,MODERATE,ZAB,None,10000,35.208580166680164,-106.6155
202008010320,F,B747,CVG UA /OV 10 W CVG/TM 0320/FLDURD/TP B747/SK BASES 044 TOPS 105,None,None,ZID,None,None,39.04306,-84.88627796651087
202008010325,F,DA40,LGU UA /OV KLGU /TM 0325 /FL085 /TP DA40 /SK SKC /WX FV99SM,None,None,ZLC,None,8500,41.79128,-111.85161
202008010326,F,SH36,SDF UA /OV SDF/TM 0326/FLDURD/TP SH36/SK BASE 005 TOPS 015,None,None,ZID,None,None,38.17439,-85.736
202008010337,F,B77L,IAH UA /OV 8R FINAL/TM 0337/FL020/TP B77L/RM HEAVY RAIN SHORT FINAL AND LIGHT TURB,None,None,ZHU,None,2000,29.98443,-95.34144
202008010337,F,R44,ORT UA /OV ORT020004 /TM 0337 /FL020 /TP R44 /TB NEG /RM (AKFSS),None,NEG,ZAN,None,2000,63.02265124906429,-141.86984037314718
202008010337,F,R44,ORT UA /OV ORT020004 /TM 0337 /FL020 /TP R44 /TB NEG /RM (AKFSS,None,NEG,ZAN,None,2000,63.02265124906429,-141.86984037314718
202008010342,F,B737,KTN UA /OV ANN346069/TM 0342/FL410/TP B737/TB CONT LGT OCNL MOD/RM (ZAN),None,CONT LGT OCNL MOD,ZAN,None,41000,56.15593046835468,-132.05556818233666
202008010342,F,B737,KTN UA /OV ANN346069/TM 0342/FL410/TP B737/TB CONT LGT OCNL MOD/RM (ZAN,None,CONT LGT OCNL MOD,ZAN,None,41000,56.15593046835468,-132.05556818233666
202008010349,F,B190,CVG UA /OV 3 E CVG/TM 0349/FLDURC/TP B190/SK BASES 048,None,None,ZID,None,None,39.04306,-84.60728761004674
202008010351,F,GA8,ILI UA /OV 6026N 15348W /TM 0351 /FL030 /TP GA8 /SK OVC050 /WXFV10SM /TB NEG /RM LAKE CLARK PASS WEST END (AKFSS),None,NEG,ZAN,None,3000,60.4333,-153.8
202008010351,F,GA8,ILI UA /OV 6026N 15348W /TM 0351 /FL030 /TP GA8 /SK OVC050 /WX FV10SM /TB NEG /RM LAKE CLARK PASS WEST END (AKFSS,None,NEG,ZAN,None,3000,60.4333,-153.8
202008010354,F,B757,MEM UA /OV MEM 3 MILES NORTH/TM 0354/FL015/TP B757/SK OVC015,None,None,ZME,None,1500,35.06111,-89.985
202008010355,F,M20P,SXU UA /OV ROW360058 /TM 0355 /FL100 /TP M20P /SK SKC /TB MOD CHOP,None,MOD CHOP,ZAB,None,10000,34.266744966744966,-104.53
202008010359,F,P28A,ROS UA /OV ROS /TM 0359 /FL045 /TP P28A /TB NEG /RM SMTH,None,NEG,ZMP,None,4500,45.698,-92.953
202008010410,F,AA5,APA UA /OV APA180001 /TM 0410 /FL068 /TP AA5 /WX -RA /RM 1500-2000 FPM DOWNDRAFT,None,None,ZDV,None,6800,39.55333198333199,-104.85
202008010420,F,B763,CVG UA /OV 10 SE CVG/TM 0420/FLDURD/TP B763/SK BASES 060 TOPS 080,None,None,ZID,None,None,38.925199323851146,-84.51991925158352
202008010428,T,C172,EWN UUA /OV EWN /TM 0428 /FL000 /TP C172 /WX RA /RM LLWS+10 AT 300FT FINAL RWY22,None,None,ZDC,None,0,35.0675,-77.04722
202008010431,F,H,MEM UA /OV MEM 1 MILE NORTH/TM 0431/FL005/TP H/MD11/SK OVC015/RM -8,None,None,ZME,None,500,35.06111,-89.985
202008010432,F,CRJ7,IAH UA /OV 8R FINAL/TM 0432/FL040/TP CRJ7/RM REPORTED FIELD IN SIGHT AT 040,None,None,ZHU,None,4000,29.98443,-95.34144
202008010435,F,A306,SDF UA /OV 20N SDF/TM 0435/FL050/TP A306/WX LT PRECIP,None,None,ZID,None,5000,38.507750333360335,-85.736
202008010453,F,B748,SDF UA /OV 10 S FRIZN/TM 0453/FL100/TP B748/SK IMC,None,None,ZID,None,10000,38.17439,-85.736
202008010454,F,B737,BRW UA /OV BRW /TM 0454 /FLUNKN /TP B737 /RM DURD RWY 7 LIGHTS IN SIGHT AT MIN (AKFSS,None,None,ZAN,None,None,71.28,-156.76
202008010454,F,B737,BRW UA /OV BRW /TM 0454 /FLUNKN /TP B737 /RM DURD RWY 7 LIGHTS INSIGHT AT MIN (AKFSS),None,None,ZAN,None,None,71.28,-156.76
202008010456,F,C182,COE UA /OV KCOE180020 /TM 0456 /FL065 /TP C182 /TB NEG /RM SMTH A LITTLE BIT OF FU AND HZ,None,NEG,ZSE,None,6500,47.44094966663967,-116.81958
202008010459,F,B190,SDF UA /OV EWO/TM 0459/FL070/TP B190/SK VFR/TB SMOOTH,None,SMOOTH,ZID,None,7000,37.63,-85.68
